,Hour,Minute,PM25,PM10,Temp,RH
362,22,0,57,107,23.3,56
363,22,15,57,107,23.3,57
364,22,30,57,107,23.2,59
365,22,45,58,100,23.2,60
366,23,0,58,100,23.3,62
367,23,15,58,100,23.5,65
368,23,30,58,100,23.3,65
369,23,45,60,89,23.2,66
370,0,0,60,89,23.4,66
371,0,15,60,89,24.9,66
372,0,30,60,89,26.6,66
373,0,45,57,90,27.5,67
374,1,0,57,90,28,68
375,1,15,57,90,28.3,68
376,1,30,57,90,28.5,69
377,1,45,53,89,28.5,70
378,2,0,53,89,28.4,69
379,2,15,53,89,28.5,69
380,2,30,53,89,28.5,70
381,2,45,50,74,28.6,70
382,3,0,50,74,28.8,70
383,3,15,50,74,29,68
384,3,30,50,74,29.1,68
385,3,45,43,70,29.1,68
386,4,0,43,70,29,66
387,4,15,43,70,26.6,65
388,4,30,43,70,23,64
389,4,45,45,67,22.5,63
390,5,0,45,67,23.1,62
391,5,15,45,67,23.3,62
392,5,30,45,67,23.3,63
393,5,45,53,80,23.2,64
394,6,0,53,80,23.3,65
395,6,15,53,80,23.2,67
396,6,30,53,80,23.2,69
397,6,45,69,94,24.1,71
398,7,0,69,94,23.7,72
399,7,15,69,94,23,73
400,7,30,69,94,23,76
401,7,45,71,130,23.3,75
402,8,0,71,130,23.4,74
403,8,15,71,130,23.8,75
404,8,30,71,130,25.5,75
405,8,45,81,128,26.8,76
406,9,0,81,128,27.4,77
407,9,15,81,128,28,75
408,9,30,81,128,28.3,72
409,9,45,77,130,28.5,70
410,10,0,77,130,28.6,65
411,10,15,77,130,28.7,61
412,10,30,77,130,29,55
413,10,45,63,108,28.9,52
414,11,0,63,108,28.6,50
415,11,15,63,108,25.7,46
416,11,30,63,108,22.7,44
417,11,45,59,102,21.7,43
418,12,0,59,102,22,41
419,12,15,59,102,22.1,40
420,12,30,59,102,23,39
421,12,45,33,78,22.1,38
422,13,0,33,78,21.5,36
423,13,15,33,78,21.6,37
424,13,30,33,78,21.1,37
425,13,45,39,73,20.9,36
426,14,0,39,73,21.3,35
427,14,15,39,73,21.2,34
428,14,30,39,73,20.9,35
429,14,45,30,70,20.8,35
430,15,0,30,70,20.7,35
431,15,15,30,70,21.8,34
432,15,30,30,70,24.7,35
433,15,45,26,65,26.5,35
434,16,0,26,65,27.4,34
435,16,15,26,65,28.3,35
436,16,30,26,65,28.6,36
437,16,45,32,78,28.8,35
438,17,0,32,78,28.6,36
439,17,15,32,78,25.4,37
440,17,30,32,78,22.8,38
441,17,45,40,88,22.2,39
442,18,0,40,88,22.6,40
443,18,15,40,88,22.6,41
444,18,30,40,88,22.6,43
445,18,45,61,132,22.5,44
446,19,0,61,132,22.8,45
447,19,15,61,132,22.9,47
448,19,30,61,132,22.6,49
449,19,45,86,194,22.8,51
450,20,0,86,194,23,53
451,20,15,86,194,23,54
452,20,30,86,194,22.8,56
453,21,0,64,132,23.4,59
454,21,15,64,132,25.3,61
455,21,30,64,132,26.7,62
456,21,45,55,112,27.5,63
457,22,0,55,112,28,64
458,22,15,55,112,28.4,64
459,22,30,55,112,28.6,65
460,22,45,63,107,28.8,66
461,23,0,63,107,28.8,67
462,23,15,63,107,28.9,67
463,23,30,63,107,28.9,68
464,23,45,52,98,28.9,68
465,0,0,52,98,28.9,69
466,0,15,52,98,28.9,70
467,0,30,52,98,29,71
468,0,45,69,101,28.9,72
469,1,0,69,101,28.7,73
470,1,15,69,101,25.7,74
471,1,30,69,101,22.8,75
472,1,45,53,80,22.5,77
473,2,0,53,80,23.2,79
474,2,15,53,80,23.4,79
475,2,30,53,80,23.3,81
476,2,45,54,81,23.4,82
477,3,0,54,81,23.5,83
478,3,15,54,81,23.5,84
479,3,30,54,81,23.5,85
480,3,45,63,86,23.5,85
481,4,0,63,86,23.6,86
482,4,15,63,86,23.5,87
483,4,30,63,86,23.5,90
484,4,45,86,115,23.5,91
485,5,0,86,115,23.7,91
486,5,15,86,115,25.6,92
487,5,30,86,115,27.1,92
488,5,45,72,90,27.7,92
489,6,0,72,90,28.3,92
490,6,15,72,90,28.8,92
491,6,30,72,90,28.9,92
492,6,45,78,91,28.9,92
493,7,0,78,91,28.7,91
494,7,15,78,91,28.6,90
495,7,30,78,91,28.6,88
496,7,45,84,117,28.6,86
497,8,0,84,117,28.5,85
498,8,15,84,117,28.5,83
499,8,30,84,117,28.5,80
500,8,45,83,121,28.6,78
501,9,0,83,121,28.4,74
502,9,15,83,121,26.2,72
503,9,30,83,121,23.8,71
504,9,45,82,126,23,67
505,10,0,82,126,23.2,65
506,10,15,82,126,23.1,63
507,10,30,82,126,22.9,60
508,10,45,75,122,22.8,57
509,11,0,75,122,22.7,55
510,11,15,75,122,22.5,52
511,11,30,75,122,21.9,48
512,11,45,69,109,22.1,47
513,12,0,69,109,22.2,43
514,12,15,69,109,22.3,43
515,12,30,69,109,22.4,41
516,12,45,48,86,22.5,41
517,13,0,48,86,22.5,41
518,13,15,48,86,24.5,39
519,13,30,48,86,26.3,39
520,13,45,44,77,27.2,36
521,14,0,44,77,27.9,35
522,14,15,44,77,28.5,34
523,14,30,44,77,28.8,34
524,14,45,38,70,28.9,33
525,15,0,38,70,29.1,32
526,15,15,38,70,29,34
527,15,30,38,70,29,33
528,15,45,39,62,29.1,34
529,16,0,39,62,29.1,34
530,16,15,39,62,29,34
531,16,30,39,62,29.1,34
532,16,45,40,71,29.1,35
533,17,0,40,71,29.1,35
534,17,15,40,71,27.2,36
535,17,30,40,71,23.7,37
536,17,45,52,87,21.9,38
537,18,0,52,87,22.4,39
538,18,15,52,87,22.6,40
539,18,30,52,87,22.5,42
540,18,45,65,140,22.6,45
541,19,0,65,140,22.9,46
542,19,15,65,140,23,47
543,19,30,65,140,23,50
544,19,45,72,147,22.8,52
545,20,0,72,147,23,55
546,20,15,72,147,23.2,57
547,20,30,72,147,23.1,59
548,20,45,59,112,23,60
549,21,0,59,112,23.1,62
550,21,15,59,112,24.4,62
551,21,30,59,112,26.1,64
552,21,45,68,122,27.1,65
553,22,0,68,122,27.8,65
554,22,15,68,122,28.3,66
555,22,30,68,122,28.6,67
556,22,45,62,108,28.8,68
557,23,0,62,108,28.8,68
558,23,15,62,108,28.8,69
559,23,30,62,108,28.9,70
560,23,45,66,93,28.9,71
561,0,0,66,93,28.8,71
562,0,15,66,93,28.9,72
563,0,30,66,93,28.8,74
564,0,45,56,82,28.9,75
565,1,0,56,82,28.8,75
566,1,15,56,82,27.4,76
567,1,30,56,82,23.8,78
568,1,45,60,81,22.6,79
569,2,0,60,81,23,79
570,2,15,60,81,23.4,80
571,2,30,60,81,23.6,80
572,2,45,59,77,23.5,80
573,3,0,59,77,23.6,81
574,3,15,59,77,23.4,83
575,3,30,59,77,23.4,86
576,3,45,64,88,23.5,87
577,4,0,64,88,23.4,88
578,4,15,64,88,23.4,88
579,4,30,64,88,23.5,88
580,4,45,66,91,23.6,88
581,5,0,66,91,23.5,89
582,5,15,66,91,24.3,89
583,5,30,66,91,26.2,89
584,5,45,75,99,27.2,89
585,6,0,75,99,27.9,89
586,6,15,75,99,28.5,88
587,6,30,75,99,28.8,88
588,6,45,71,99,28.8,88
589,7,0,71,99,28.7,88
590,7,15,71,99,28.6,89
591,7,30,71,99,28.6,88
592,7,45,85,123,28.6,87
593,8,0,85,123,28.5,85
594,8,15,85,123,28.5,84
595,8,30,85,123,28.5,80
596,8,45,84,133,28.6,77
597,9,0,84,133,28.6,74
598,9,15,84,133,27.8,72
599,9,30,84,133,24.6,69
600,9,45,77,128,22.7,68
601,10,0,77,128,22.5,66
602,10,15,77,128,22.5,63
603,11,45,54,109,22.5,49
604,12,0,54,109,22.4,47
